Id,Description,Category,0 points,1 point,2 points,3 points,4 points,5 points,Max score,Grade,Notes
1,How environment supports testing?,Functional completeness (Functional suitability),No support,"Comes with a testing functionality/framework, but it has shortcomings (e.g., performance is remarkably slow, documentation limited, etc.), and it can't be chaged to alternative solution",Provides documentation how external testing frameworks can be integrated into the environment,"Comes with a testing functionality/framework, but it has shortcomings (e.g., performance is remarkably slow, documentation limited, etc.), but it can be chaged to alternative solution",,"Comes with a testing functionality/ framework, which performs as expected and has documentation",5,5,
2,Environment supports mainnet forking for testing?,Functional completeness (Functional suitability),No,,,,,Yes,5,5,
3,Environment automatically compiles the code when running tests (if there are any changes)?,"Functional completeness, Usability (Functional suitability)",No,Yes,,,,,1,1,
4,How environment supports debugging?,Functional completeness (Functional suitability),No support,Provides documentation how an external debugger/ debugging tools can be integrated into the environment,,,Comes with debugging tool(s) and a documentation,,4,4,Console logging
5,How environment supports compiling?,Functional completeness (Functional suitability),No support,Provides documentation how a compiler can be integrated into the environment or how the source code can be compiled,"Comes with a compiler which can't be configured, or the configuration isn't explained in the documentation",,,Comes with a compiler and a documentation how it can be configured,5,5,
6,How environment supports deploying?,Functional completeness (Functional suitability),No support,Provides documentation how deploying can be done,,,,Comes with a tool or a functionality to deploy smart contracts,5,5,
7,How environment supports gas optimization?,Functional completeness (Functional suitability),No support,,Provides documentation how an external tool or plugin can be integrated into the environment,Comes with a tool or a functionality to evaluate gas usage,,Comes with a tool or a functionality to optimize gas usage,5,2,Community plugins available
8,How environment supports ensuring the security of the smart contracts?,Functional completeness (Functional suitability),No support,,,Provides documentation how an external tool or plugin can be integrated into the environment,,Comes with a tool or a functionality to improve the security,5,3,
9,"Does the development environment enable parallel frontend development (e.g., exposes interface for the frontend to connect)?",Functional completeness (Functional suitability),No,,,,,Yes,5,5,
10,Development environment worked as intended during the evaluation?,Functional correctness (Functional suitability),"No, either constantly minor troubles or some functionality simply doesn't work","A few minor problems may occur (e.g., an unexpected need for configuration), but the provided functionalities still operates as expected",,"Yes, no problem occurs during the evaluation",,,3,3,
