Id,Description,Category,0 points,1 point,2 points,3 points,4 points,5 points,Possible grades,Grade,Notes
0,How environment supports testing?,Functional completeness (Functional suitability),No support,"Comes with a testing functionality/framework, but it has shortcomings (e.g., performance is remarkably slow, documentation limited, etc.), and it can't be chaged to alternative solution",Provides documentation how external testing frameworks can be integrated into the environment,"Comes with a testing functionality/framework, but it has shortcomings (e.g., performance is remarkably slow, documentation limited, etc.), but it can be chaged to alternative solution",,"Comes with a testing functionality/ framework, which performs as expected and has documentation","0 - 3, 5",,
1,Environment supports mainnet forking for testing?,Functional completeness (Functional suitability),No,,,,,Yes,"0, 5",,
2,Environment automatically compiles the code when running tests (if there are any changes)?,"Functional completeness, Usability (Functional suitability)",No,Yes,,,,,"0, 1",,
3,How environment supports debugging?,Functional completeness (Functional suitability),No support,Provides documentation how an external debugger/ debugging tools can be integrated into the environment,,,Comes with debugging tool(s) and a documentation,,"0, 1, 4",,
4,How environment supports compiling?,Functional completeness (Functional suitability),No support,Provides documentation how a compiler can be integrated into the environment or how the source code can be compiled,"Comes with a compiler which can't be configured, or the configuration isn't explained in the documentation",,,Comes with a compiler and a documentation how it can be configured,"0, 1, 2, 5",,
5,How environment supports deploying?,Functional completeness (Functional suitability),No support,Provides documentation how deploying can be done,,,,Comes with a tool or a functionality to deploy smart contracts,"0, 1, 5",,
6,How environment supports gas optimization?,Functional completeness (Functional suitability),No support,,Provides documentation how an external tool or plugin can be integrated into the environment,Comes with a tool or a functionality to evaluate gas usage,,Comes with a tool or a functionality to optimize gas usage,"0, 2, 3, 5",,
7,How environment supports ensuring the security of the smart contracts?,Functional completeness (Functional suitability),No support,,,Provides documentation how an external tool or plugin can be integrated into the environment,,Comes with a tool or a functionality to improve the security,"0, 3, 5",,
8,"Does the development environment enable parallel frontend development (e.g., exposes interface for the frontend to connect)?",Functional completeness (Functional suitability),No,,,,,Yes,"0, 5",,
9,Development environment worked as intended during the evaluation?,Functional correctness (Functional suitability),"No, either constantly minor troubles or some functionality simply doesn't work","A few minor problems may occur (e.g., an unexpected need for configuration), but the provided functionalities still operates as expected",,"Yes, no problem occurs during the evaluation",,,"0, 1, 3",,
10,How much the environment supports and overall eases the development process?,Functional appropriateness (Functional suitability),Not at all,"Just a bit, lacking support at least in one functionality",,"Environment provides a decent support and benefits gained from using it are unquestioned, but some functionalities could be either improved or the environment is lacking some essential functionalities",,Environment provides full support for developers in identified functionalities (score from feature ids 0-9 = 43),"0, 1, 3, 5",,
11,Development environment supports Solidity and Vyper?,Functional completeness (Functional suitability),No,,,"Yes, only another",,"Yes, both","0, 3, 5",,
12,Development environment provide an extension for VS Code?,Functional completeness (Functional suitability),No,,,Yes,,,"0, 3",,
